ファイル名,行数,文言（オリジナル）,文言（翻訳）
Text_EN.txt,692,Show only your own engines,
Text_EN.txt,693,Reviews,
Text_EN.txt,694,Bundles,
Text_EN.txt,695,Games from subsidiaries,
Text_EN.txt,696,History,
Text_EN.txt,697,Total sales,
Text_EN.txt,698,Total downloads,
Text_EN.txt,699,Last 24 months,
Text_EN.txt,700,Current month,
Text_EN.txt,701,Difference (24 months),
Text_EN.txt,702,Last month,
Text_EN.txt,703,Total subscribers,
Text_EN.txt,704,Total,
Text_EN.txt,705,Monthly balance,
Text_EN.txt,706,Annual balance,
Text_EN.txt,707,Annual financial statements,
Text_EN.txt,708,Building costs,
Text_EN.txt,709,Items,
Text_EN.txt,710,Third Party Products,
Text_EN.txt,711,Contractual penalties,
Text_EN.txt,712,Expenses,
Text_EN.txt,713,Income,
Text_EN.txt,714,Game Revenues,
Text_EN.txt,715,Engine licenses,
Text_EN.txt,716,Commissioned work,
Text_EN.txt,717,Contract games,
Text_EN.txt,718,Awards,
Text_EN.txt,719,Last year,
Text_EN.txt,720,Current year,
Text_EN.txt,721,Year,
Text_EN.txt,722,Events of the last years,
Text_EN.txt,723,Games that are currently available with the genre or topic,
Text_EN.txt,724,Monthly statements,
Text_EN.txt,725,Total profit,
Text_EN.txt,726,Hype per campaign / Maximum hype that can be generated with this campaign,
Text_EN.txt,727,Wait until Hype has dropped below <NUM>.,
Text_EN.txt,728,"If you want new updates to be created automatically, you must select at least one new piece of game content!",
Text_EN.txt,729,Automatic was stopped!<br>Not enough money.,
Text_EN.txt,730,Automatic was stopped!<br>There are no further orders.,
Text_EN.txt,731,Automatic was stopped!<br>Hype is at maximum.,
Text_EN.txt,732,Start fan campaign,
Text_EN.txt,733,Credit Limit,
Text_EN.txt,734,Current credit,
Text_EN.txt,735,Monthly interest,
Text_EN.txt,736,Take out a loan,
Text_EN.txt,737,Repay credit,
Text_EN.txt,738,Credit,
Text_EN.txt,739,Fan Event,
Text_EN.txt,740,"To get new fans, you can start an event. The more spectacular the event, the more fans you will get.",
Text_EN.txt,741,Satisfaction survey,
Text_EN.txt,742,Distribute autograph cards,
Text_EN.txt,743,Raffle,
Text_EN.txt,744,Studio tour,
Text_EN.txt,745,Highscore Championship,
Text_EN.txt,746,Games Convention,
Text_EN.txt,747,Customer support,
Text_EN.txt,748,Marketing & Support,
Text_EN.txt,749,Fan campaign <NAME> completed,
Text_EN.txt,750,Fanshop,
Text_EN.txt,751,"<b>Number of calls, letters and emails</b><br>To answer the questions of your fans,<br> you have to set up a support department.<br><br>▪ If too many questions remain unanswered, you will lose fans.<br>▪ Avoid bugged games.<br>▪ From 5,000 fans upwards, a support department is necessary to handle all questions.",
Text_EN.txt,752,"The more letters, calls and emails go unanswered, the more dissatisfied your fans become.",
Text_EN.txt,753,Start customer support,
Text_EN.txt,754,Workload,
Text_EN.txt,755,Very low workload,
Text_EN.txt,756,Low workload,
Text_EN.txt,757,Average workload,
Text_EN.txt,758,High workload,
Text_EN.txt,759,Unanswered questions: <NUM>,
Text_EN.txt,760,Golden record received,
Text_EN.txt,761,Your game <color=blue><NAME></color> is considered a groundbreaking milestone in the video game industry and has set a new trend.,
Text_EN.txt,762,Trendsetter,
Text_EN.txt,763,Mad Games Awards,
Text_EN.txt,764,<NUM> Fans,
Text_EN.txt,765,Positive Awards,
Text_EN.txt,766,Negative Awards,
Text_EN.txt,767,Best Soundtrack,
Text_EN.txt,768,Best graphics,
Text_EN.txt,769,Developer of the year,
Text_EN.txt,770,Publisher of the year,
Text_EN.txt,771,Game of the year,ゲーム賞
Text_EN.txt,772,Worst game of the year,最悪ゲーム賞
Text_EN.txt,773,Gold records,ゴールドレコード
Text_EN.txt,774,Sick,病気
Text_EN.txt,775,<b>Medical miracle</b><br>Employees with a strong immune system never get sick.,
Text_EN.txt,776,Usage per month: <NUM>,
Text_EN.txt,777,New game,ニューゲーム
Text_EN.txt,778,Load game,ロードゲーム
Text_EN.txt,779,Options,オプション
Text_EN.txt,780,Credits,クレジット
Text_EN.txt,781,Close game,ゲーム終了
Text_EN.txt,782,Mad Games Tycoon®<br>©2020 Eggcode Games,
Text_EN.txt,783,Do you really want to close the game?,
Text_EN.txt,784,<Empty>,
Text_EN.txt,785,Delete Save Game,
Text_EN.txt,786,Loading ...,
Text_EN.txt,787,Do you really want to delete this save game?,
Text_EN.txt,788,Autosave,
Text_EN.txt,789,Mad Games Tycoon 2,
Text_EN.txt,790,Save game,
Text_EN.txt,791,Close game,
Text_EN.txt,792,Do you really want to return to the start menu?,
Text_EN.txt,793,Back to the start menu,
Text_EN.txt,794,Do you really want to overwrite the save game?,
Text_EN.txt,795,The game has been saved,
Text_EN.txt,796,Player name,
Text_EN.txt,797,Random company name,
Text_EN.txt,798,Company Headquarters,
Text_EN.txt,799,Level of difficulty,
Text_EN.txt,800,Start year,
Text_EN.txt,801,Game speed,
Text_EN.txt,802,"Save game, load game, options",
Text_EN.txt,803,Very easy,
Text_EN.txt,804,Easy,
Text_EN.txt,805,Medium,
Text_EN.txt,806,Hard,
Text_EN.txt,807,Legendary,
Text_EN.txt,808,Slowly,
Text_EN.txt,809,Normal,
Text_EN.txt,810,Fast,
Text_EN.txt,811,Very Fast,
Text_EN.txt,812,"<b>Please select the company location</b><br>Each country has a special genre, which means a bonus of <color=blue>+3%</color> on the sales.",
Text_EN.txt,813,Special genre: <color=blue><TEXT></color>,
Text_EN.txt,814,Your character ▪ CEO,
Text_EN.txt,815,You must enter a company name for your studio!,
Text_EN.txt,816,Body,
Text_EN.txt,817,Hair,
Text_EN.txt,818,Eyes,
Text_EN.txt,819,Beard,
Text_EN.txt,820,Skin color,
Text_EN.txt,821,Hair color,
Text_EN.txt,822,Top color,
Text_EN.txt,823,Base color,
Text_EN.txt,824,Extra color,
Text_EN.txt,825,You must enter a name for your character!,
Text_EN.txt,826,Male,
Text_EN.txt,827,Female,
Text_EN.txt,828,Appearance,
Text_EN.txt,829,Skills,
Text_EN.txt,830,Perks,
Text_EN.txt,831,<NUM> skill points left,
Text_EN.txt,832,You must spend all skill points!,
Text_EN.txt,833,Roll the dice,
Text_EN.txt,834,New game ▪ Game settings,
Text_EN.txt,835,Disable Tutorial,
Text_EN.txt,836,Random platform popularity,
Text_EN.txt,837,Random game concept settings,
Text_EN.txt,838,No random events,
Text_EN.txt,839,"<size=20>Mad Games Tycoon 2</size><br><br>Thanks for purchasing <color=blue>Mad Games Tycoon 2</color>. Please keep in mind that the early-access version still lacks many features, the game is unbalanced in some places, and bugs may occur. Furthermore, all translations are very faulty.<br><br>Have fun!",
Text_EN.txt,840,"The lower the speed of the game, the more tasks<br>your employees can complete in a week.<br>This makes the game easier.",
Text_EN.txt,841,The difficulty level mainly affects<br>the sales figures of your games.,
Text_EN.txt,842,"For a quick start in the game,<br>you can increase the starting year.",
Text_EN.txt,843,An update for <NAME> was cancelled<br>because the game was taken off the market.,
Text_EN.txt,844,<b>Inuit</b><br>Employees with this characteristic never freeze.,
Text_EN.txt,845,<b>Modest</b><br>Modest employees do not need<br>high-quality office equipment.,
Text_EN.txt,846,<b>Iron</b><br>These employees do not go to<br>the toilet during working hours.,
Text_EN.txt,847,At least one gameplay feature must be selected!,
Text_EN.txt,848,News,
Text_EN.txt,849,A competitor publishes a game,
Text_EN.txt,850,New competitor,
Text_EN.txt,851,New copy protection available,
Text_EN.txt,852,New NPC engine has been released,
Text_EN.txt,853,New research available,
Text_EN.txt,854,New platform available,
Text_EN.txt,855,Platforms taken off the market,
Text_EN.txt,856,Receive a golden record,
Text_EN.txt,857,Game settings,
Text_EN.txt,858,Graphics settings,
Text_EN.txt,859,Sound settings,
Text_EN.txt,860,Audio,
Text_EN.txt,861,Master Volume,
Text_EN.txt,862,Music,
Text_EN.txt,863,Music Volume,
Text_EN.txt,864,Screen resolution,
Text_EN.txt,865,Full screen,
Text_EN.txt,866,Maximum frame rate,
Text_EN.txt,867,VSync,
Text_EN.txt,868,SSAO,
Text_EN.txt,869,Screen Space Reflections,
Text_EN.txt,870,Bloom,
Text_EN.txt,871,Ambient Occlusion,
Text_EN.txt,872,Color Grading,
Text_EN.txt,873,Real-time shadows,
Text_EN.txt,874,Language,
Text_EN.txt,875,Size of the GUI,
Text_EN.txt,876,Set settings to default,
Text_EN.txt,877,-,
Text_EN.txt,878,-,
Text_EN.txt,879,-,
Text_EN.txt,880,"<b>Marketing [Streamer] has been unlocked</b><br><br>More and more people are watching games on the Internet as gamers play their favorite games. If we do it right, we can use it to promote our games and reach the target group directly.",
Text_EN.txt,881,"<b>Marketing [Internet] has been unlocked</b><br><br>The internet is becoming more and more important for advertising campaigns. Therefore, we should also consider starting advertising campaigns on the Internet.",
Text_EN.txt,882,<b>Remaster has been unlocked</b><br><br>Wouldn't it be a great idea to let an old game shine in new splendor? Fast money and happy players!,
Text_EN.txt,883,<b>MMOs and server room unlocked</b><br><br>You can now develop MMO games and build the necessary server room.,
Text_EN.txt,884,-,
Text_EN.txt,885,<b>Licenses has been unlocked</b><br><br>You now have enough money to buy licenses. Even games with weak gameplay that uses an official license sell respectably.,
Text_EN.txt,886,"<b>Motion Capture Studio has been unlocked</b><br><br>To perfect our animations, we should set up a motion capture studio. Although the purchase costs are very high, it will be profitable. What do you think about that?",
Text_EN.txt,887,-,
Text_EN.txt,888,-,
Text_EN.txt,889,-,
Text_EN.txt,890,-,
Text_EN.txt,891,-,
Text_EN.txt,892,-,
Text_EN.txt,893,<b>2. platform has been unlocked</b><br><br>You can now develop your games for two platforms. This allows you to reach a wider range of customers. ,
Text_EN.txt,894,<b>3. platform has been unlocked</b><br><br>You can now develop your games for three platforms. This allows you to reach a wider range of customers. ,
Text_EN.txt,895,<b>4. platform has been unlocked</b><br><br>You can now develop your games for four platforms. This allows you to reach a wider range of customers. ,
Text_EN.txt,896,<b>Copy protection has been unlocked</b><br>Today the first effective copy protection was released. You can now protect your games with copy protection.,
Text_EN.txt,897,<b>Sequel has been unlocked</b><br><br>One of your games has received a good rating from the press. We should think about developing a sequel at a later date.,
Text_EN.txt,898,-,
Text_EN.txt,899,-,
Text_EN.txt,900,Bugfixing,
Text_EN.txt,901,Improve gameplay,
Text_EN.txt,902,Create game report,
Text_EN.txt,903,Multiplatform game,
Text_EN.txt,904,Retro game,
Text_EN.txt,905,▪ Multiplatform games can be published on any platform.<br>Thus the game can be offered to a wider audience.,
Text_EN.txt,906,▪ Retro games can only be published on platforms that<br>have already been taken off the market.<br>These games generate many fans and game testers do not rate the games so strictly.,
Text_EN.txt,907,Retro games can only be released on platforms that have already been taken off the market!,
Text_EN.txt,908,It is not possible to change the platforms in a retro game!,
Text_EN.txt,909,Retro,
Text_EN.txt,910,A new exclusive game for <NAME> has reached us. Let's see if it's worth buying.<br>,
Text_EN.txt,911,Retro Special! <NAME> owners can look forward to a new game. We check if the joy is justified.<br>,
Text_EN.txt,912,Which game should be checked and fixed?,
Text_EN.txt,913,Game improvement has already been executed,
Text_EN.txt,914,In process,
Text_EN.txt,915,You have not selected a game improvement!,
Text_EN.txt,916,Gameplay improvement for <NAME1> completed,
Text_EN.txt,917,Reassign support,
Text_EN.txt,918,High quality graphics,
Text_EN.txt,919,Graphic improvement for <NAME1> completed,
Text_EN.txt,920,Requires the gameplay feature <color=yellow><NAME></color>,
Text_EN.txt,921,High quality sounds,
Text_EN.txt,922,Sound improvement for <NAME1> completed,
Text_EN.txt,923,High quality animations,
Text_EN.txt,924,Motion Capture recording for <NAME1> completed,
Text_EN.txt,925,Show room connections,
Text_EN.txt,926,UI-Dropup (Pause game),
Text_EN.txt,927,View game reports,
Text_EN.txt,928,"When you create a report of your games, you can check the positive and negative settings of your game concept.",
Text_EN.txt,929,Create game reports automatically,
Text_EN.txt,930,Game report for <NAME1> completed,
Text_EN.txt,931,Priority for game reviews,
Text_EN.txt,932,Do the topics and the target group fit <color=yellow><NAME></color>?,
Text_EN.txt,933,No subtopic,
Text_EN.txt,934,Suitable subgenres for <color=yellow><NAME></color>,
Text_EN.txt,935,Perfect design settings,
Text_EN.txt,936,Firing employees can cause a<br>bad mood among all your employees!,
Text_EN.txt,937,Bad mood,
Text_EN.txt,938,The dismissal of an employee has caused a bad mood. Your employees now fear for their jobs and the motivation has decreased.,
Text_EN.txt,939,Would you like to participate at the <color=blue>Mad Games Convention</color> this year?,
Text_EN.txt,940,"Please select the size of your booth. The bigger the stand, the more products you can present. Additionally, large stands attract more attention.",
Text_EN.txt,941,Small booth,
Text_EN.txt,942,Middle booth,
Text_EN.txt,943,Large booth,
Text_EN.txt,944,Game consoles,
Text_EN.txt,945,Do not participate,
Text_EN.txt,946,Mad Games Convention,
Text_EN.txt,947,Size of the booth,
Text_EN.txt,948,Which products would you like to exhibit at the <color=blue>Mad Games Convention</color>?,
Text_EN.txt,949,Select game,
Text_EN.txt,950,Select console,
Text_EN.txt,951,Remove product,
Text_EN.txt,952,You must choose at least one product which will be exhibited at the <color=blue>Mad Games Convention</color>!,
Text_EN.txt,953,Number of visitors to your booth,
Text_EN.txt,954,This year up to <color=blue><NUM></color> visitors are expected.,
Text_EN.txt,955,The organizer reports that <color=blue><NUM></color> tickets for the fair have been sold.,
Text_EN.txt,956,For which game should a paid AddOn be developed?,
Text_EN.txt,957,Number of Addons,
Text_EN.txt,958,Name of the addon,
Text_EN.txt,959,Best selling budget games,
Text_EN.txt,960,Bestselling Addons,
Text_EN.txt,961,Best sold bundles,
Text_EN.txt,962,New Gameplay Features,
Text_EN.txt,963,Addon content,
Text_EN.txt,964,Addon,
Text_EN.txt,965,New items,
Text_EN.txt,966,New challenges,
Text_EN.txt,967,New enemies,
Text_EN.txt,968,New game modes,
Text_EN.txt,969,New player characters,
Text_EN.txt,970,New gameplay mechanics,
Text_EN.txt,971,New game world,
Text_EN.txt,972,New campaign,
Text_EN.txt,973,The addon has no new content yet!,
Text_EN.txt,974,You must give the addon a name!,
Text_EN.txt,975,Too many gameplay features were selected!,
Text_EN.txt,976,Number of competitors,
Text_EN.txt,977,Develop new content,
Text_EN.txt,978,Game Bundle,
Text_EN.txt,979,Budget Game,
Text_EN.txt,980,Standalone Addon,
Text_EN.txt,981,"▪ Normal addons require the main game.<br>They increase the sales of the main game,<br>but cannot exceed the sales of the main game.<br><br>▪ Stand-Alone Addons do not require the main game but a new campaign.<br>The sales figures of the main game are not affected.<br>But the sales figures can be higher than in the main game.",
Text_EN.txt,982,Addon completed,
Text_EN.txt,983,"The most necessary work on this addon was completed. If the main game is distributed by a publisher, you are contractually bound to have the addon distributed by the same publisher.",
Text_EN.txt,984,Interested publishers,
Text_EN.txt,985,Give Addon to Publisher,
Text_EN.txt,986,Main Game,
Text_EN.txt,987,"And finally the short reviews for the latest addons of your favorite games. As usual, we show you which addon is worthwhile!",
Text_EN.txt,988,Estimated age rating,
Text_EN.txt,989,Lead Designer,
Text_EN.txt,990,Mad Games Software Rating,
Text_EN.txt,991,Age rating,
Text_EN.txt,992,<color=blue><NAME></color> has received the following age classification from the MGSR:,
Text_EN.txt,993,Available employees,
Text_EN.txt,994,"▪ The lead designer should have a high level of knowledge in <color=blue>game design</color>.<br>All employees working on this game will receive a bonus,<br>depending on this value.<br><br>▪ The lead designer must be in this room.",
Text_EN.txt,995,Appoint as lead designer,
Text_EN.txt,996,Progress of development,
Text_EN.txt,997,Employee settings,
Text_EN.txt,998,Game description,
Text_EN.txt,999,You can optionally write a description for the game.,
Text_EN.txt,1000,No game description,
Text_EN.txt,1001,No lead designer selected!,
Text_EN.txt,1002,Historical Random Events,
Text_EN.txt,1003,Many breaks,
Text_EN.txt,1004,Some breaks,
Text_EN.txt,1005,Few breaks,
Text_EN.txt,1006,Exert little pressure,
Text_EN.txt,1007,Apply medium pressure,
Text_EN.txt,1008,Exerting high pressure,
Text_EN.txt,1009,Number of breaks,
Text_EN.txt,1010,Exerted pressure on employees,
Text_EN.txt,1011,Motivation recharge from:,
Text_EN.txt,1012,Crunch Time,
Text_EN.txt,1013,Automate salary negotiations,
Text_EN.txt,1014,"The fewer breaks are allowed,<br>the faster the motivation decreases.",
Text_EN.txt,1015,"High work pressure makes your employees work faster.<br>However, the quality of their work suffers as a result.",
Text_EN.txt,1016,Here you can set the motivation level<br>for your employees to use the lounge.,
Text_EN.txt,1017,"This allows you to determine at what stage of development the crunch time starts.<br>In the Crunchtime all the needs of your employees are ignored.<br><br>But be careful! In crunch times, employees tend to quit.",
Text_EN.txt,1018,The profession decides which ability can be trained to <color=blue>100</color>.<br>All other abilities have a limit of <color=blue>50</color>.,
Text_EN.txt,1019,Profession,
Text_EN.txt,1020,Required Gameplay Features,
Text_EN.txt,1021,The selected platforms require the following gameplay features:,
Text_EN.txt,1022,Publisher Exclusive Contract,
Text_EN.txt,1023,No publisher offers you a contract. The relationship with publishers must be maximized!,
Text_EN.txt,1024,Contract period,
Text_EN.txt,1025,Instant payment,
Text_EN.txt,1026,Multiplayer,
Text_EN.txt,1027,Waiting for players ...,
Text_EN.txt,1028,Players' lobby,
Text_EN.txt,1029,Leave Lobby,
Text_EN.txt,1030,Start game,
Text_EN.txt,1031,Lobby is full,
Text_EN.txt,1032,Wait for game start ...,
Text_EN.txt,1033,Player data,
Text_EN.txt,1034,You must enter a player and company name!,
Text_EN.txt,1035,Create game,
Text_EN.txt,1036,Join,
Text_EN.txt,1037,Join the game as a client,
Text_EN.txt,1038,Host game as server,
Text_EN.txt,1039,IP of the host,
Text_EN.txt,1040,The server has disconnected!,
Text_EN.txt,1041,Waiting for players ...,
Text_EN.txt,1042,The connection was terminated because the game versions are different.,
Text_EN.txt,1043,Leaderboard [Multiplayer],
Text_EN.txt,1044,Chat [Multiplayer],
Text_EN.txt,1045,>> Pays to you <NUM> Engine license fees <<,
Text_EN.txt,1046,>> Has purchased your engine for <NUM <<,
Text_EN.txt,1047,Completed [Polishing],
Text_EN.txt,1048,Finish development,
Text_EN.txt,1049,<NUM> Months,
Text_EN.txt,1050,Do you really want to sign an exclusive contract with <NAME>?,
Text_EN.txt,1051,You already have an exclusive contract with <NAME>! The remaining term is <NUM> months.,
Text_EN.txt,1052,The product became <NAME> an exclusive contract! The remaining term is <NUM> months.,
Text_EN.txt,1053,Hand over <color=blue><NAME></color>,
Text_EN.txt,1054,"The exclusive contract with <NAME> has expired. You can now distribute your games yourself again, or find a new publisher.",
Text_EN.txt,1055,<b>Leadership</b><br>Employees with strong leadership skills give a bonus if they are deployed as lead developer.,
Text_EN.txt,1056,<b>All-rounder</b><br>The limit for secondary abilities is increased.,
Text_EN.txt,1057,You have not selected all Perks yet!,
Text_EN.txt,1058,Map,
Text_EN.txt,1059,Industrial park-A,
Text_EN.txt,1060,Arcade Cabinet,
Text_EN.txt,1061,Mobile game,
Text_EN.txt,1062,▪ Arcade cabinet games are not yet available,
Text_EN.txt,1063,▪ Mobile games are not yet available,
Text_EN.txt,1064,Porting a game,
Text_EN.txt,1065,Do you really want to buy this property?,
Text_EN.txt,1066,This building has a floor area of <color=blue><NUM1></color> square meters. The purchase price is <color=red><NUM2></color>.,
Text_EN.txt,1067,A virus has deleted some of your graphics assets for the current game. Your graphic artists are now trying to make up for the losses.,
Text_EN.txt,1068,A music star friend of an employee has composed a free soundtrack for your current game.,
Text_EN.txt,1069,An exhausted programmer has spent the last few hours reworking some core elements. Unfortunately he was so unfocused that some bugs crept in.,
Text_EN.txt,1070,"One of your programmers probably wants to be ""employee of the month"" and has worked a night shift. The result is a significantly increased performance of the game.",
Text_EN.txt,1071,"During a spontaneous brainstorming session with your staff, some good ideas for your new game were born. The developers immediately got to work and implemented some of these ideas.",
Text_EN.txt,1072,"A high-circulation gaming magazine has published a negative report about your current game. Unfortunately, this caused the interest to drop a bit.",
Text_EN.txt,1073,"One of your developers has illegally sent screenshots and information about your current game to a well-known game magazine. Fortunately, the printed report was well received and increased interest.",
Text_EN.txt,1074,"A piece of music for the current game resembles too much a hit from the charts. To avoid a lawsuit, this piece of music was removed.",
Text_EN.txt,1075,There were problems with current drivers for different input devices. Some functions must be rewritten immediately.,
Text_EN.txt,1076,One of your level designers has accidentally overwritten a level that has already been completed. The complete level must now be recreated.,
Text_EN.txt,1077,Your programmers are lucky. Some bug reports turned out to be wrong. This saves us a lot of time.,
Text_EN.txt,1078,One of your graphic designers has continued working on the current game in his spare time. As a result many inferior graphics were improved.,
Text_EN.txt,1079,One of your sound specialists has found an old piece of music he created in his library. This track fits the current game extraordinarily well.,
Text_EN.txt,1080,Your programmers have received the latest SDK and updated it immediately. Thereby some technical problems could be fixed.,
Text_EN.txt,1081,"<b>Video Game Crash<br><color=blue>-50% games sold</color></b><br><br>The computer games market has collapsed.<br>In the coming months, sales figures for all games will decline sharply.<br>Hopefully the market will stabilize soon.",
Text_EN.txt,1082,"<b>Video Game Boom<br><color=blue>+50% games sold</color></b><br><br>The computer games industry is experiencing a strong upswing.<br>In the coming months, all games will sell significantly better.",
Text_EN.txt,1083,<b>Order stagnation<br><color=blue>no new orders</color></b><br><br>A global slump in orders has broken out.<br>You will not be offered new jobs in the near future.,
Text_EN.txt,1084,<b>Labor shortage<br><color=blue>no new employee applications</color></b><br><br>The IT industry complains of a severe shortage of employees.<br>No employees will be applying to you in the near future.,
Text_EN.txt,1085,<b>Banking crisis<br><color=blue>+200% interest</color></b><br><br>A worldwide banking crisis has broken out.<br>All banks now demand significantly higher interest rates for loans.,
Text_EN.txt,1086,<b>Era of Legends<br><color=blue>+200% chance that legends apply</color></b><br><br>Many experienced employees are looking for a new job.<br>In the coming months more game development legends will apply to you.,
Text_EN.txt,1087,"<b>Real Estate Boom<br><color=blue>+100% property prices</color></b><br><br>A worldwide real estate boom has greatly increased the purchase prices for real estate.<br>Even for buildings that are due for demolition, enormous sums are demanded.",
Text_EN.txt,1088,"<b>Pandemic<br><color=blue>+300% chance that employees fall ill</color></b><br><br>A global influenza pandemic hits the world of work unexpectedly.<br>Fortunately, the course of the disease is mild, but nevertheless the work performance decreases noticeably.",
Text_EN.txt,1089,"<b>Energy crisis<br><color=blue>+100% operating costs for servers</color></b><br><br>An energy crisis is causing electricity prices to skyrocket.<br>In the near future, operating costs for servers will increase by 100%.",
Text_EN.txt,1090,-,
Text_EN.txt,1091,Game manual b/w,
Text_EN.txt,1092,Game manual colored,
Text_EN.txt,1093,Edition,
Text_EN.txt,1094,Poster,
Text_EN.txt,1095,Sticker,
Text_EN.txt,1096,Map of the game world,
Text_EN.txt,1097,Playing cards,
Text_EN.txt,1098,Button badge,
Text_EN.txt,1099,Key ring,
Text_EN.txt,1100,Soundtrack,
Text_EN.txt,1101,Collector figure,
Text_EN.txt,1102,Prices & Package contents,
Text_EN.txt,1103,Production costs,
Text_EN.txt,1104,Standard Edition,
Text_EN.txt,1105,Deluxe Edition,
Text_EN.txt,1106,Collectors Edition,
Text_EN.txt,1107,Content of the edition,
Text_EN.txt,1108,Offer edition for sale,
Text_EN.txt,1109,Basic costs,
Text_EN.txt,1110,Better editions automatically get the content of the smaller editions.,
Text_EN.txt,1111,Will be unlocked in <color=blue>February 2003</color>.,
Text_EN.txt,1112,Retail price,
Text_EN.txt,1113,Prod. costs,
Text_EN.txt,1114,Offer Standard Edition,
Text_EN.txt,1115,Offer Deluxe-Edition,
Text_EN.txt,1116,Offer Collectors-Edition,
Text_EN.txt,1117,Offer Digital version,
Text_EN.txt,1118,F2P games and digital versions,
Text_EN.txt,1119,<b>F2P games and digital distribution was unlocked</b><br><br>You can now develop F2P games and distribute your games online as digital versions.,
Text_EN.txt,1120,You have not offered a retail or digital version for sale.,
Text_EN.txt,1121,The Deluxe Edition must have more content than the Standard Edition.,
Text_EN.txt,1122,The Collectors Edition edition must have more content than the smaller edition.,
Text_EN.txt,1123,In how many weeks will the game be released?,
Text_EN.txt,1124,<NUM> weeks,
Text_EN.txt,1125,Stock,
Text_EN.txt,1126,Orders,
Text_EN.txt,1127,Digital version,
Text_EN.txt,1128,▪ The standard edition and digital version must be the same price.<br>▪ Better editions must cost at least $10 more<br>than the next lower edition.<br>▪ Budget games may cost a maximum of $10 and<br>may only be published as standard edition.,
Text_EN.txt,1129,Development completed,
Text_EN.txt,1130,Digital version only,
Text_EN.txt,1131,Production order,
Text_EN.txt,1132,Produce game,
Text_EN.txt,1133,Secondary marketing,
Text_EN.txt,1134,Base price,
Text_EN.txt,1135,Please select the desired production quantity of each edition.,
Text_EN.txt,1136,Automatic production,
Text_EN.txt,1137,"If you have not activated an automatic, you must determine the production quantity.",
Text_EN.txt,1138,Production for <NAME1> completed,
Text_EN.txt,1139,Distribution options,
Text_EN.txt,1140,<b>Distribution options</b><br>Here you can manage your own distribution.,
Text_EN.txt,1141,The content can only be changed if the stock is empty!,
Text_EN.txt,1142,Take games automatically off the market,
Text_EN.txt,1143,Are you sure you want to take the game off the market?,
Text_EN.txt,1144,You have manually taken <color=blue><NAME></color> off the market. The product is now no longer available.,
Text_EN.txt,1145,Anti-Cheat Software,
Text_EN.txt,1146,Buy Anti-Cheat Software,
Text_EN.txt,1147,Sell stock,
Text_EN.txt,1148,There is no storage space available.,
Text_EN.txt,1149,Sell entire stock,
Text_EN.txt,1150,Do you really want to sell the complete stock? A distributor of budget games has made you an offer.,
Text_EN.txt,1151,Which game would you like to republish as <color=blue>budgetgame</color>? Only games that have not been available for at least <color=blue>one year</color> can be selected.,
Text_EN.txt,1152,<color=blue><NUM></color> weeks to available,
Text_EN.txt,1153,Weeks to available,
Text_EN.txt,1154,Under which label do you want to release the budget version?,
Text_EN.txt,1155,Classic,
Text_EN.txt,1156,Silver,
Text_EN.txt,1157,Top Choice,
Text_EN.txt,1158,Platinum,
Text_EN.txt,1159,<color=blue>Re-release possible</color>,
Text_EN.txt,1160,You can't choose content for budget games!,
Text_EN.txt,1161,Fans are divided according to their favorite genre.,
Text_EN.txt,1162,Market research,
Text_EN.txt,1163,Total fans,
Text_EN.txt,1164,Conduct new market research,
Text_EN.txt,1165,No market research has been conducted yet. Start a market research to find out which <color=blue>genre</color> will soon be in trend or which <color=blue>platform</color> the target group is interested in.,
Text_EN.txt,1166,Market research completed,
Text_EN.txt,1167,Market research has shown that the platform <color=blue><NAME></color> will sell the most.,
Text_EN.txt,1168,Final report from <color=blue><NAME></color>,
Text_EN.txt,1169,The target group has the least interest in the platform <color=blue><NAME></color>.,
Text_EN.txt,1170,The market research showed that <color=blue><NUM1></color> players prefer a <color=blue>retail version</color> and <color=blue><NUM2></color> a <color=blue>digital version</color>.,
Text_EN.txt,1171,We could see that <color=blue><NUM1></color> buyers are interested in a <color=blue>Deluxe Edition</color> and <color=blue><NUM2></color> in a <color=blue>Collectors Edition</color>.,
Text_EN.txt,1172,Next trend with <color=blue>80%</color> probability are <color=blue><NAME1></color> and <color=blue><NAME2></color>.,
Text_EN.txt,1173,Soon unpopular with <color=blue>80%</color> probability are <color=blue><NAME1></color> and <color=blue><NAME2></color>.,
Text_EN.txt,1174,You can conduct market research in the marketing department.,
Text_EN.txt,1175,"If you want to sell your engine, you must set the sales price or license fees.",
Text_EN.txt,1176,Disable work icon sound,
Text_EN.txt,1177,Best games of all times,
Text_EN.txt,1178,In-App Purchases,
Text_EN.txt,1179,Cosmetic Items & Skins,
Text_EN.txt,1180,Pets & Mounts,
Text_EN.txt,1181,Booster Packs,
Text_EN.txt,1182,Powerful Items,
Text_EN.txt,1183,Special game characters,
Text_EN.txt,1184,Instances & Territories,
Text_EN.txt,1185,Financing,
Text_EN.txt,1186,Requires the gameplay feature <color=orange>In-App Purchases</color>,
Text_EN.txt,1187,Basic costs,
Text_EN.txt,1188,Technology,
Text_EN.txt,1189,Content & Features,
Text_EN.txt,1190,Total costs,
Text_EN.txt,1191,Fees & Licenses,
Text_EN.txt,1192,Budget cuts can have a negative<br>effect on the quality of the game.,
